id,name,category
aputure-infinimat-led-clear-softbox-pack-4-x-4,"Aputure INFINIMAT LED & Clear Softbox Pack (4 x 4')",lights
godox-knowled-ms60r-rgb-led-light-4-light-kit,"Godox KNOWLED MS60R RGB LED Light (4-Light Kit)",lights
aputure-infinimat-led-with-clear-softbox-400w-control-box-pa,"Aputure INFINIMAT LED with Clear Softbox & 400W Control Box Pack (2 x 4', V-Mount)",lights
aputure-storm-80c-led-monolight-3-light-kit-us,"Aputure Storm 80c LED Monolight 3-Light Kit (US)",lights
aputure-infinimat-tunable-color-light-mat-with-inflatable-ai,"Aputure INFINIMAT Tunable Color Light Mat with Inflatable Airbag (1 x 4', V-Mount)",lights
avenger-super-wind-up-40-stand-with-braked-wheels,"Avenger Super Wind-up 40 Stand with Braked Wheels",light-accessories
aputure-mc-pro-rgb-led-light-panel-production-8-light-kit,"Aputure MC Pro RGB LED Light Panel (Production 8-Light Kit)",lights
aputure-spotlight-max-kit-with-36-lens,"Aputure Spotlight Max Kit with 36° Lens",lenses
avenger-wind-up-stand-30-with-low-base-and-braked-wheels-chr,"Avenger Wind Up Stand 30 with Low Base and Braked Wheels (Chrome-plated, 9.7')",light-accessories
avenger-wind-up-stand-26-with-braked-wheels-chrome-plated-8-,"Avenger Wind Up Stand 26 with Braked Wheels (Chrome-plated, 8.5')",light-accessories
amaran-f22c-rgb-led-flexible-light-mat-v-mount,"amaran F22c RGB LED Flexible Light Mat (V-Mount)",lights
aputure-accent-b7c-rgbww-led-8-light-kit-with-charging-case,"Aputure Accent B7C RGBWW LED 8-Light Kit with Charging Case",lights
aputure-storm-80c-blair-cg-led-monolight-us,"Aputure STORM 80c BLAIR-CG LED Monolight (US)",lights
avenger-combo-steel-stand-45-with-leveling-leg-chrome-plated,"Avenger Combo Steel Stand 45 with Leveling Leg (Chrome-plated, 14.7')",light-accessories
avenger-combo-steel-stand-35-with-leveling-leg-chrome-plated,"Avenger Combo Steel Stand 35 with Leveling Leg (Chrome-plated, 11.5')",light-accessories
aputure-spotlight-mini-36-lens-kit,"Aputure Spotlight Mini 36° Lens Kit",lenses
matthews-silent-gridcloth-lite-fabric-12-x-12,"Matthews Silent Gridcloth Lite Fabric (12 x 12')",light-accessories
avenger-c-stand-grip-arm-kit-chrome-plated-10-75,"Avenger C-Stand Grip Arm Kit (Chrome-Plated, 10.75')",light-accessories
avenger-baby-stand-17-with-leveling-leg-chrome-plated-5-75,"Avenger Baby Stand 17 with Leveling Leg (Chrome-plated, 5.75')",light-accessories
avenger-combo-steel-stand-10-with-leveling-leg-chrome-plated,"Avenger Combo Steel Stand 10 with Leveling Leg (Chrome-plated, 3.3')",light-accessories
matthews-set-of-four-apple-boxes,"Matthews Set of Four Apple Boxes",lights
avenger-c-stand-30-with-turtle-base-chrome-plated-9-8,"Avenger C-Stand 30 with Turtle Base (Chrome-plated, 9.8')",light-accessories
avenger-c-stand-40-with-turtle-base-chrome-plated-12-8,"Avenger C-Stand 40 with Turtle Base (Chrome-plated, 12.8')",light-accessories
